Neighbourhood.Name,Neighbourhood_Number,Gini_i_HH_tIncome,Avg_HH_size,Avg_tIncome_HH_in_2020,Race_Total,Prop_Black,Prop_Arab,Prop_Latin_Amrican,Prop_East_SouthEast_Asian,Prop_West_Asian,Prop_multi_vis_minority,Prop_non_vis_minority,Total Population,Unemployment_rate,Prop_no_dip,Prop_HS_or_equi,Prop_PS_non_Bach,Prop_PS_Bach,Prop_Graduate,TOTAL_CRIME_RATE_2015,TOTAL_CRIME_RATE_2016,TOTAL_CRIME_RATE_2017
Eringate.Centennial.West.Deane,11,0.3,2.7,127400,18450,0.05528455285,0.008401084011,0.02628726287,0.1070460705,0.009214092141,0.01653116531,0.6864498645,15810,12.8,0.123062322,0.2584625119,0.2651059791,0.2372666878,0.1161024992,711.05558,759.32244,621.226514
Markland.Wood,12,0.4,2.5,148600,10365,0.0164013507,0.007235890014,0.01543656536,0.08007718283,0.003859141341,0.00820067535,0.8210323203,9055,12.2,0.1055248619,0.2502762431,0.2430939227,0.2524861878,0.1486187845,579.6316,644.201752,483.34253
Etobicoke.West.Mall,13,0.3,2.5,97900,11865,0.09523809524,0.007163927518,0.04593341761,0.1289506953,0.01559207754,0.02612726507,0.5377159713,10085,14.2,0.1403769841,0.2762896825,0.2514880952,0.214781746,0.1170634921,910.08452,693.441018,658.513693
Kingsway.South,15,0.5,2.6,316000,8855,0.006775832863,0.002823263693,0.01072840203,0.06606437041,0.01298701299,0.01129305477,0.8650479955,7425,8.3,0.06464646465,0.1508417508,0.1461279461,0.3757575758,0.2626262626,1045.1651,978.0902,1014.9835
Stonegate.Queensway,16,0.4,2.4,154600,25655,0.02650555447,0.007600857533,0.02143831612,0.09413369714,0.01130383941,0.01500682128,0.7651529916,21430,12,0.1152052239,0.2049906716,0.2266791045,0.2793843284,0.1737406716,737.740072,709.91203,868.83909
New.Toronto,18,0.4,2.2,92700,11345,0.1207580432,0.01057734685,0.04186866461,0.1018069634,0.004847950639,0.02512119877,0.5949757602,9695,13.2,0.1413099536,0.2805569881,0.240330067,0.2289840124,0.1088189789,1644.924358,1552.373849,1452.77317
Long.Branch,19,0.4,2.2,109100,11360,0.0673415493,0.007482394366,0.03565140845,0.1236795775,0.009683098592,0.01496478873,0.6698943662,9765,11.5,0.1285860656,0.2254098361,0.2423155738,0.2607581967,0.1429303279,1270.03422,1200.04297,1282.16879
Alderwood,20,0.3,2.6,129000,12595,0.02977371973,0.0107185391,0.01905518063,0.1103612545,0.004763795157,0.01349741961,0.7427550615,10555,11.9,0.1590909091,0.2623106061,0.265625,0.2064393939,0.1065340909,848.5797,733.78728,571.06386
Humber.Summit,21,0.3,3.1,94900,12185,0.1116126385,0.02913418137,0.05498563808,0.1025851457,0.01272055806,0.0188756668,0.3434550677,10345,17.4,0.2783953601,0.2967617206,0.2300628323,0.1377477042,0.05703238279,1637.39246,2135.94952,2198.30921
Humbermede,22,0.3,3,88400,16955,0.2539074019,0.007962253023,0.1291654379,0.1925685638,0.009731642583,0.03037452079,0.1902093778,13930,16.2,0.2702799713,0.3004307251,0.2386934673,0.1295764537,0.06101938263,1529.5819,1417.4139,1715.49649
